Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557520579893476,-10.986771,-3.228203,6.415317,-0.113762,-0.416072,0.696370,47.718195,-3.692958,-3.755902,4635478913181548500.000000,0.728051,-0.395982,0.473341,0.298475,-5.749798,1.965792,2.026140,-0.483962,1.101822,-0.367200,33.311052,-18.451002,-22.733137,4635474725588434900.000000,-0.010650,0.563352,-0.291051,-0.773182,-8.187781,4.302882,-2.417892,0.759948,2.143367,0.552311,47.199291,-10.647800,-5.249207,4635476121452806100.000000,-0.686399,-0.519564,-0.313633,0.400679,-16.157339,0.070568,8.967272,1.848742,-1.677024,1.276279,43.345643,-19.777141,15.374215,4635475155085164500.000000,0.246970,-0.689302,0.549759,0.402037,-8.584600,3.866130,-2.884523,0.774314,1.154441,-0.803521,43.478415,-19.885860,15.328800,4635475799330258900.000000,0.704546,0.394511,0.589815,0.009683
1557520579901809,-10.504835,-2.662875,6.145685,-0.090590,-0.403963,0.654766,47.767570,-3.909239,-3.743696,4635478878201838600.000000,0.727889,-0.394524,0.473051,0.301249,-6.387358,2.618222,1.993624,-0.479082,1.170558,-0.337717,33.515626,-18.094034,-22.574440,4635474725588434900.000000,-0.009168,0.567656,-0.288855,-0.770873,-8.769062,4.687228,-2.772776,0.273606,2.142596,0.411213,47.269591,-10.753856,-4.538703,4635476121452806100.000000,-0.683790,-0.524308,-0.318288,0.395253,-16.159503,2.190144,7.692785,1.342164,-1.841958,1.090287,43.159418,-20.146469,14.780242,4635475105977740300.000000,0.252817,-0.682873,0.552726,0.405292,-8.458354,4.043467,-2.903922,0.544137,1.004985,-0.998345,43.377974,-19.358251,15.867307,4635475799330258900.000000,0.701349,0.393513,0.594312,0.007048
1557520579910142,-10.084096,-2.415328,5.851543,-0.054642,-0.424256,0.608839,47.715883,-4.067922,-3.822934,4635478875749410800.000000,0.727877,-0.393019,0.472664,0.303841,-7.153612,3.310468,2.137144,-0.526610,1.223060,-0.302020,33.900033,-17.846375,-22.387530,4635474725588434900.000000,-0.007393,0.572068,-0.286585,-0.768474,-9.318861,4.550439,-2.544231,-0.192758,2.123038,0.287927,47.264124,-10.970658,-3.783084,4635476121452806100.000000,-0.681970,-0.527484,-0.323900,0.389573,-15.612615,-0.740069,7.129064,1.046902,-1.900178,0.885800,43.085507,-20.397885,14.044031,4635475047710982100.000000,0.258275,-0.677067,0.554504,0.409145,-8.133830,3.968159,-2.646945,0.261537,0.868258,-1.175661,42.736190,-18.167892,16.404425,4635475799330258900.000000,0.698933,0.391241,0.598669,0.004367
1557520579918475,-9.433435,-2.185688,5.397641,0.017195,-0.454985,0.583434,47.585020,-4.254440,-4.091487,4635479020555730900.000000,0.728067,-0.391306,0.472230,0.306262,-7.653485,3.965756,2.404034,-0.645250,1.276743,-0.270314,34.385802,-17.635903,-22.106535,4635474725588434900.000000,-0.005167,0.576597,-0.284003,-0.766062,-9.585740,4.080377,-1.825429,-0.587661,2.090152,0.195928,47.221164,-11.096530,-2.947611,4635476121452806100.000000,-0.680859,-0.529316,-0.330238,0.383664,-15.449248,-1.839804,4.011565,0.835112,-2.053387,1.059176,43.177089,-20.665261,13.247019,4635475047710982100.000000,0.263164,-0.670767,0.556198,0.414077,-7.705883,3.546039,-2.127853,0.024955,0.759110,-1.344242,42.243507,-17.156738,16.952318,4635475799330258900.000000,0.697151,0.387845,0.602955,0.001604
1557520579926808,-8.817440,-2.255528,5.073741,0.135877,-0.490628,0.596349,47.559475,-4.550235,-4.268617,4635479020555730900.000000,0.728497,-0.389159,0.471856,0.308544,-8.021348,4.502361,2.668809,-0.834793,1.320017,-0.244369,34.620197,-17.520609,-21.785875,4635474787626278900.000000,-0.002348,0.581213,-0.280870,-0.763740,-9.628713,3.417843,-1.001183,-0.885070,2.062964,0.141409,47.327204,-11.076349,-2.325034,4635476143641494500.000000,-0.680298,-0.530140,-0.337068,0.377532,-13.119563,6.086397,3.319278,0.381881,-1.995710,1.084841,43.246455,-21.139529,12.554979,4635475098357479400.000000,0.266576,-0.664946,0.557202,0.419893,-7.255697,2.920716,-1.869262,-0.145325,0.698592,-1.500619,42.382576,-16.513998,17.318570,4635475799330258900.000000,0.695767,0.383545,0.607289,-0.001286
1557520579935141,-8.214171,-2.442902,4.506526,0.339123,-0.504215,0.598883,47.636693,-4.901412,-4.347820,4635479020555730900.000000,0.729271,-0.386370,0.471701,0.310451,-8.303211,4.839836,2.832393,-1.073739,1.342069,-0.214577,34.733067,-17.333686,-21.549043,4635474940336799700.000000,0.001173,0.585837,-0.277036,-0.761607,-9.497457,2.661407,-0.336051,-1.087491,2.059716,0.113850,47.513737,-11.016526,-1.667159,4635476228826988500.000000,-0.680085,-0.530297,-0.344241,0.371170,-10.851081,-5.215005,0.940497,0.394687,-1.965799,0.985652,43.110588,-21.585871,11.828165,4635475155085164500.000000,0.270098,-0.659340,0.557948,0.425456,-7.191601,2.349034,-1.940223,-0.270955,0.645053,-1.633846,42.742302,-16.034219,17.585038,4635475799330258900.000000,0.694684,0.378524,0.611649,-0.004334
1557520579943474,-7.351452,-2.188267,3.943848,0.488987,-0.540258,0.599554,47.694324,-5.121707,-4.648164,4635479055509673000.000000,0.730346,-0.383074,0.471625,0.312119,-8.324644,4.943998,2.893155,-1.344147,1.343398,-0.175653,35.148353,-17.077353,-21.418570,4635474940336799700.000000,0.005483,0.590383,-0.272425,-0.759738,-9.057756,2.016475,0.166926,-1.179711,2.082320,0.117671,47.475520,-11.099449,-0.853584,4635476228826988500.000000,-0.679985,-0.530180,-0.351581,0.364582,-11.847306,-2.706568,-0.604365,0.370534,-2.201608,1.245133,42.890870,-21.943534,10.952068,4635475155085164500.000000,0.273608,-0.652680,0.559054,0.431980,-7.007137,1.787545,-1.942418,-0.361500,0.601071,-1.728351,42.711586,-15.311994,18.013628,4635475799330258900.000000,0.693814,0.372978,0.615998,-0.007497
1557520579951807,-6.560570,-1.833131,3.734667,0.548764,-0.566314,0.585401,47.694324,-5.316435,-4.950790,4635479127929913300.000000,0.731574,-0.379586,0.471518,0.313662,-7.990733,4.855856,2.886103,-1.614903,1.336704,-0.126758,35.624425,-16.824532,-21.354009,4635474940336799700.000000,0.010609,0.594804,-0.267061,-0.758139,-8.225633,1.651443,0.679650,-1.171744,2.131851,0.142389,47.321739,-11.139917,0.017407,4635476228826988500.000000,-0.679764,-0.530142,-0.358961,0.357794,-10.216286,5.205284,-0.364662,0.112465,-2.039272,1.204040,42.711436,-22.306069,10.116439,4635475155085164500.000000,0.276075,-0.646640,0.559722,0.438578,-6.896518,1.387541,-1.639568,-0.401856,0.546106,-1.810529,42.561557,-14.630579,18.379130,4635475704646689800.000000,0.693102,0.367079,0.620277,-0.010883
1557520579960140,-5.841776,-1.429777,3.256048,0.652159,-0.641883,0.556354,47.666514,-5.560583,-5.062099,4635479127929913300.000000,0.733139,-0.375735,0.471262,0.315028,-7.423563,4.522499,2.854641,-1.844616,1.330867,-0.057740,36.054651,-16.576880,-21.308968,4635474940336799700.000000,0.016518,0.599067,-0.261122,-0.756744,-7.189163,1.421611,1.197428,-1.085470,2.207834,0.153522,47.473277,-11.087247,0.775616,4635476228826988500.000000,-0.679186,-0.530422,-0.366369,0.350902,-9.189824,-7.231754,-2.452983,0.545855,-2.117726,1.080221,42.531129,-22.554390,9.510637,4635475053857326100.000000,0.280085,-0.640187,0.560715,0.444197,-7.154119,0.826060,-1.190072,-0.344666,0.489489,-1.864398,43.285637,-14.400505,18.550161,4635475597262666800.000000,0.692402,0.361180,0.624431,-0.014662
