Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557516378848458,-3.944405,0.806115,1.897937,-0.978233,0.082043,0.460890,39.759514,-23.247272,3.672027,4635483208685715500.000000,0.719823,-0.151184,0.576119,0.356490,-3.208258,3.298895,6.499831,1.789629,2.320205,-1.837054,18.430880,-25.201573,-29.803619,4635480416420102100.000000,-0.570204,-0.559060,0.204356,0.566178,-5.042044,-3.545868,4.332869,-0.418009,0.204148,-2.628447,41.835910,15.590773,12.542352,4635480416420102100.000000,-0.572953,-0.469385,-0.591164,0.319262,-10.820848,2.907462,-4.823418,-3.262011,1.269757,1.940043,35.731567,-20.821061,-16.594949,4635479986923372500.000000,0.399018,-0.533286,0.364335,0.650884,-7.722422,-6.834907,-5.505012,0.361359,0.322231,-0.067517,34.213725,15.771965,23.968090,4635481382787743700.000000,0.505694,0.394873,0.729902,-0.235779
1557516378856791,-4.264151,1.127841,2.016208,-1.107355,0.023439,0.433208,39.642405,-23.332714,3.401106,4635483208685715500.000000,0.718366,-0.153236,0.574823,0.360621,-3.260440,3.779022,6.530961,1.708072,2.161536,-1.883688,19.472809,-25.281362,-29.072164,4635480416420102100.000000,-0.563548,-0.569705,0.198706,0.564239,-5.346850,-3.449733,4.517885,-0.213225,0.129879,-2.739768,41.487615,16.320175,12.877285,4635480416420102100.000000,-0.569160,-0.462416,-0.597246,0.324847,-11.291127,2.389304,-5.367663,-3.380561,1.293485,1.907565,36.076223,-20.974472,-17.102090,4635479986923372500.000000,0.384480,-0.539407,0.361359,0.656228,-9.965032,1.806186,-4.277055,0.520164,0.244765,0.790288,34.301618,15.719303,24.168367,4635481382787743700.000000,0.504608,0.398707,0.728761,-0.235180
1557516378865124,-4.597210,1.412074,1.977101,-1.259380,-0.051370,0.402277,39.363144,-23.418160,3.081745,4635483208685715500.000000,0.717019,-0.155699,0.573037,0.365061,-3.235142,4.433748,6.486734,1.633184,2.022750,-1.910018,20.465071,-25.415633,-28.418675,4635480416420102100.000000,-0.556783,-0.579762,0.193109,0.562653,-5.742817,-3.312785,4.570909,-0.024235,0.049069,-2.850051,41.088596,17.412328,12.888730,4635480416420102100.000000,-0.564979,-0.455445,-0.603015,0.331273,-11.804781,1.989332,-5.922015,-3.520779,1.337613,1.914309,35.944365,-20.715503,-17.495834,4635479986923372500.000000,0.369429,-0.545705,0.357976,0.661500,-6.930131,9.337304,-2.972065,-0.082064,0.122287,0.694514,34.401688,15.194391,24.605303,4635481382787743700.000000,0.504793,0.400860,0.728103,-0.233155
1557516378873457,-4.765253,1.589838,2.048361,-1.352257,-0.044638,0.374842,39.162840,-23.538749,2.900996,4635483208685715500.000000,0.715615,-0.158509,0.571093,0.369626,-3.092022,5.014381,6.293911,1.595611,1.908338,-1.920050,21.325217,-25.549909,-27.737210,4635480416420102100.000000,-0.549891,-0.589367,0.187633,0.561302,-6.200536,-3.174318,4.581976,0.150959,-0.032838,-2.949915,40.730806,18.402954,12.785351,4635480416420102100.000000,-0.560452,-0.448453,-0.608453,0.338478,-12.360113,2.002730,-6.371544,-3.670197,1.366161,1.890727,35.056076,-19.953604,-17.807966,4635479986923372500.000000,0.353945,-0.552177,0.354056,0.666684,-7.010957,-1.556299,-1.997754,0.479884,0.408295,0.708722,34.413893,14.706224,24.790816,4635481382787743700.000000,0.503176,0.404510,0.727468,-0.232328
1557516378881790,-5.102451,1.666560,1.836710,-1.409760,0.022203,0.369318,39.159856,-23.697436,2.774567,4635483157188882400.000000,0.713998,-0.161599,0.569234,0.374254,-2.986393,5.487069,5.914646,1.618360,1.805324,-1.910749,22.188320,-25.710708,-27.040577,4635480416420102100.000000,-0.542789,-0.598675,0.182441,0.560074,-6.864289,-3.048436,4.550692,0.317491,-0.110445,-3.033399,40.297071,19.304379,12.711361,4635480416420102100.000000,-0.555607,-0.441455,-0.613541,0.346391,-12.582475,1.795789,-6.779837,-3.786256,1.371689,1.811799,34.991832,-19.433500,-18.139436,4635479986923372500.000000,0.338290,-0.558773,0.349521,0.671690,-7.967578,-1.031764,-4.330410,0.773106,0.591372,0.796173,34.442019,14.525475,24.897055,4635481382787743700.000000,0.500581,0.409207,0.726769,-0.231894
1557516378890123,-5.824299,1.461030,1.321381,-1.468142,-0.012164,0.393416,39.197971,-23.862036,2.463019,4635483101311533100.000000,0.712358,-0.164745,0.567175,0.379101,-3.071452,6.183162,5.399822,1.641206,1.690293,-1.890269,23.210180,-25.829809,-26.208361,4635480416420102100.000000,-0.535500,-0.607651,0.177587,0.558984,-7.710778,-2.889349,4.522472,0.476809,-0.191722,-3.102295,39.761886,20.345786,12.519854,4635480416420102100.000000,-0.550485,-0.434455,-0.618238,0.354960,-12.757645,0.830509,-7.196333,-3.895226,1.393258,1.714393,35.427790,-18.971845,-18.474068,4635479986923372500.000000,0.322509,-0.565537,0.344363,0.676439,-7.339046,-0.571401,-2.043559,0.682837,0.418512,1.313345,34.604333,14.148345,25.071573,4635481382787743700.000000,0.499143,0.415099,0.724890,-0.230398
1557516378898456,-6.514495,1.110313,1.033694,-1.516995,-0.113076,0.435902,39.115894,-24.068180,2.010690,4635483101311533100.000000,0.710828,-0.167768,0.564743,0.384243,-3.363162,7.536924,4.829465,1.567682,1.570521,-1.860288,24.014924,-25.598678,-25.364831,4635480416420102100.000000,-0.528293,-0.616068,0.172881,0.558103,-8.560635,-2.824114,4.474378,0.626906,-0.279035,-3.154800,39.102731,21.497738,12.348230,4635480416420102100.000000,-0.545144,-0.427454,-0.622504,0.364130,-13.178451,-0.118672,-7.608287,-4.013525,1.420384,1.598063,35.309819,-18.139316,-18.772331,4635479986923372500.000000,0.306627,-0.572508,0.338511,0.680900,-6.930160,7.410755,-2.743668,0.478355,0.539858,0.835587,34.675116,13.795539,25.187592,4635481382787743700.000000,0.497214,0.419227,0.724263,-0.229064
1557516378906789,-7.103865,0.829559,1.105557,-1.549972,-0.187365,0.490677,38.950863,-24.271280,1.565386,4635483101311533100.000000,0.709331,-0.170631,0.562050,0.389660,-3.681791,9.355897,4.309851,1.398337,1.490914,-1.813421,24.228115,-25.055912,-24.649913,4635480416420102100.000000,-0.521497,-0.623806,0.168055,0.557373,-9.554039,-2.795495,4.586448,0.783042,-0.377201,-3.192948,38.531650,22.770878,12.061786,4635480416420102100.000000,-0.539622,-0.420476,-0.626266,0.373897,-13.598040,-0.790010,-8.286028,-4.115917,1.437306,1.475259,35.450635,-17.448747,-19.140649,4635479986923372500.000000,0.290717,-0.579627,0.331974,0.685062,-7.230847,-13.333538,-5.332797,1.085177,0.622216,0.782311,34.621420,13.556266,25.468355,4635481393544485900.000000,0.493908,0.424515,0.723299,-0.229523
1557516378915122,-7.809914,0.525361,1.245155,-1.592917,-0.240468,0.547454,38.827345,-24.470994,1.113741,4635483101311533100.000000,0.707802,-0.173393,0.559141,0.395364,-3.902789,10.855102,3.977722,1.204560,1.452626,-1.748964,24.740391,-24.881418,-24.073849,4635480416420102100.000000,-0.515260,-0.630911,0.163012,0.556673,-10.690834,-2.771674,4.767208,0.932423,-0.494199,-3.216463,38.238606,23.760422,11.805312,4635480416420102100.000000,-0.534003,-0.413504,-0.629457,0.384238,-13.868248,-1.708644,-9.366265,-4.182095,1.448427,1.345200,36.138767,-17.113930,-19.518592,4635479986923372500.000000,0.274898,-0.586828,0.324822,0.688879,-8.724755,6.969459,-2.656232,0.687161,0.707865,1.278688,34.650711,13.236498,25.767376,4635481490161926100.000000,0.491499,0.430542,0.721983,-0.227604
