Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557501661761694,-8.459906,0.858397,4.812711,0.026962,-0.321701,0.376158,40.406418,23.765787,-10.571435,4635495019845779500.000000,-0.555051,-0.386566,-0.401427,0.617529,-2.593459,-16.783070,25.318278,2.801164,-0.981038,-0.232830,-9.533873,-42.005240,-1.437845,4635492335491219500.000000,-0.331923,-0.146887,0.898484,-0.246935,-15.921921,-6.267302,3.650528,-0.001765,0.626471,0.009165,26.333926,40.367285,2.233955,4635492657613766700.000000,-0.250236,0.764376,0.411308,-0.428878,-8.714794,-1.819334,-2.242394,0.402005,-0.877801,0.073792,36.135741,12.320174,27.555122,4635491961337357300.000000,0.636229,-0.100358,0.749693,0.151993,-9.819847,-1.807756,-2.317921,3.851699,-0.364378,-1.420702,43.153649,2.185603,-19.265936,4635493194484678700.000000,-0.050663,0.725573,0.012686,-0.686160
1557501661770027,-8.302702,1.086613,3.513552,-0.096084,-0.321272,0.379406,40.542761,23.729269,-10.844124,4635495019845779500.000000,-0.556489,-0.386318,-0.400153,0.617217,-2.499075,4.016690,14.880719,1.476662,-0.933518,-0.544349,-9.507277,-42.096030,-0.548019,4635492335491219500.000000,-0.328045,-0.155566,0.896884,-0.252556,-10.372660,-7.584349,-2.934119,0.473392,0.850071,0.070162,26.206693,40.262570,2.295654,4635492657613766700.000000,-0.253240,0.765463,0.409295,-0.427099,-9.747423,-1.483011,-3.981499,0.469420,-0.836124,0.134836,36.235285,12.676071,27.211808,4635491824635965400.000000,0.637516,-0.101294,0.748873,0.150008,-9.133345,-0.870013,-3.111808,3.617414,-0.234164,-1.257982,43.012990,2.004401,-19.618603,4635493194484678700.000000,-0.065310,0.723747,0.006248,-0.686939
1557501661778360,-8.797229,0.858775,3.844665,-0.157186,-0.395924,0.335585,40.614029,23.556390,-10.970455,4635495019845779500.000000,-0.558034,-0.385660,-0.398932,0.617023,-4.630722,10.065725,7.769858,-0.554536,-1.160788,-0.889136,-9.144360,-41.893976,-0.314883,4635492335491219500.000000,-0.324999,-0.162951,0.897425,-0.249902,-8.304227,-3.692560,-6.542758,0.167010,1.067604,0.237925,26.302480,40.035112,2.501258,4635492793264653300.000000,-0.255334,0.767531,0.407052,-0.424275,-9.538205,-1.800205,-1.501642,0.544695,-0.866604,0.206659,36.208982,12.787822,26.972134,4635491905994489900.000000,0.638880,-0.101796,0.748040,0.148009,-9.334070,-0.475098,-3.725466,3.355071,-0.074904,-1.032776,43.129071,1.524302,-19.767479,4635493194484678700.000000,-0.078506,0.722278,-0.000171,-0.687132
1557501661786693,-9.082308,0.553754,4.582091,-0.170363,-0.387257,0.327912,40.614029,23.326427,-10.903184,4635495019845779500.000000,-0.559565,-0.384978,-0.397778,0.616808,-3.227731,7.045176,4.134284,-1.925901,-1.095324,-1.121681,-8.784887,-41.761528,-0.541337,4635492335491219500.000000,-0.323420,-0.169235,0.899053,-0.241793,-7.772844,-1.992409,-7.076391,-0.788269,1.171818,0.290707,27.047836,39.386153,2.954880,4635492872362131500.000000,-0.254450,0.770867,0.406205,-0.419544,-8.938291,-2.131381,-1.293192,0.554725,-0.791999,0.280838,36.412007,12.693890,26.549395,4635491905994489900.000000,0.639965,-0.102094,0.747435,0.146161,-9.593621,-0.845637,-3.918981,3.146910,0.118891,-0.758178,43.634075,0.851504,-19.501125,4635493194484678700.000000,-0.090270,0.721284,-0.006890,-0.686697
1557501661795026,-9.112673,0.069565,4.240325,-0.180860,-0.325431,0.340020,40.601883,23.179897,-11.004821,4635495055456799700.000000,-0.561036,-0.384449,-0.396773,0.616448,-1.968482,7.573229,1.749362,-2.984387,-0.904937,-1.200977,-8.742780,-42.002470,-1.421045,4635492335491219500.000000,-0.323436,-0.174147,0.901279,-0.229691,-7.361035,-3.855956,-5.919760,-1.453522,1.183169,0.292727,27.938993,38.636344,3.562714,4635492872362131500.000000,-0.251433,0.774895,0.406480,-0.413634,-9.532248,-0.616637,-1.874363,0.654349,-0.751967,0.358846,36.691734,12.532238,25.984898,4635491905994489900.000000,0.640917,-0.101915,0.747023,0.144208,-9.763481,-1.811193,-4.100659,3.049393,0.221399,-0.508382,44.148782,0.331528,-19.421079,4635493194484678700.000000,-0.101003,0.720483,-0.014124,-0.685933
1557501661803359,-9.261373,-0.438763,3.904628,-0.194397,-0.321348,0.346617,40.526627,23.108614,-11.187910,4635495234594144300.000000,-0.562536,-0.383908,-0.395800,0.616044,-1.772714,7.645969,1.073878,-3.746932,-0.684909,-1.197228,-8.463243,-42.157072,-2.945798,4635492335491219500.000000,-0.324887,-0.177716,0.903723,-0.214825,-6.573952,-6.053683,-4.530807,-1.456548,1.163718,0.251968,28.189460,38.333813,4.297688,4635493008003527700.000000,-0.248430,0.778778,0.406885,-0.407715,-9.959779,-1.578323,0.043146,0.664297,-0.766265,0.396887,36.738757,12.423413,25.482109,4635491905994489900.000000,0.641893,-0.101591,0.746586,0.142344,-10.216563,-1.837158,-4.436031,2.970533,0.281147,-0.249130,44.082731,0.020953,-19.388189,4635493178665183200.000000,-0.110734,0.719750,-0.021940,-0.684994
1557501661811692,-9.218769,-1.191334,3.526709,-0.188070,-0.304634,0.340229,40.455334,23.108614,-11.340677,4635495234594144300.000000,-0.563979,-0.383412,-0.394859,0.615637,-1.740750,6.750260,1.446729,-4.208552,-0.475550,-1.157766,-7.318014,-42.232446,-4.666876,4635492335491219500.000000,-0.327478,-0.180230,0.906049,-0.198370,-6.072219,-6.981994,-3.832480,-1.012376,1.110817,0.166630,28.108510,38.306831,4.929224,4635493222742399000.000000,-0.246913,0.781929,0.406845,-0.402614,-8.891109,-2.195759,-0.006815,0.649624,-0.759985,0.394190,36.703930,12.508857,25.198410,4635491905994489900.000000,0.642842,-0.101326,0.746150,0.140528,-10.525818,-1.350462,-4.976829,2.837265,0.316009,-0.027107,44.118797,-0.375329,-19.088996,4635492979736313900.000000,-0.119408,0.719048,-0.030059,-0.683966
1557501661820025,-9.076420,-1.983141,2.929604,-0.118110,-0.284266,0.319038,40.481596,23.094473,-11.340677,4635495234594144300.000000,-0.565220,-0.383095,-0.393820,0.615362,-2.168964,5.963556,2.523803,-4.556232,-0.316446,-1.141409,-5.901433,-42.461606,-6.329733,4635492207100921900.000000,-0.331588,-0.178761,0.908772,-0.179520,-5.779239,-6.577215,-3.780441,-0.408703,1.045435,0.130595,28.030767,38.360802,5.404670,4635493301858861100.000000,-0.247305,0.784266,0.405962,-0.398701,-9.563488,-2.647364,1.180279,0.547288,-0.813389,0.510858,36.824841,12.614993,24.861110,4635491905994489900.000000,0.643842,-0.100946,0.745554,0.139377,-10.732467,0.014387,-5.229793,2.663594,0.382822,0.108278,44.283072,-0.986298,-18.751832,4635492979736313900.000000,-0.127146,0.718506,-0.038123,-0.682737
1557501661828358,-8.860979,-2.453178,3.055892,-0.042329,-0.309778,0.309033,40.626152,22.996897,-11.370983,4635495234594144300.000000,-0.566354,-0.382873,-0.392542,0.615274,-2.526663,4.513754,4.389948,-4.750038,-0.164651,-1.158034,-5.619372,-42.345903,-7.902118,4635492120742854700.000000,-0.336319,-0.176862,0.911056,-0.159956,-5.015459,-4.944302,-4.715065,0.035144,0.996588,0.175897,27.649207,38.685193,5.782405,4635493301858861100.000000,-0.248985,0.786125,0.404233,-0.395740,-11.192925,3.176471,-0.276064,0.272264,-0.704872,0.257708,36.944506,12.744529,24.361399,4635491905994489900.000000,0.644531,-0.102158,0.744981,0.138371,-10.906246,1.045971,-5.118696,2.450386,0.403585,0.188048,44.204455,-1.455507,-18.926854,4635492979736313900.000000,-0.133996,0.718038,-0.045831,-0.681445
1557501661836691,-8.522950,-2.943200,2.880215,0.081017,-0.306863,0.316030,40.687275,22.850318,-11.568254,4635495234594144300.000000,-0.567301,-0.382959,-0.390942,0.615367,-2.313105,2.840439,6.299811,-4.596360,0.014519,-1.255585,-6.143814,-41.539439,-9.629763,4635492120742854700.000000,-0.341071,-0.178507,0.911928,-0.142102,-4.342700,-3.596831,-5.722581,0.197598,0.967464,0.222113,27.395994,38.755960,5.970047,4635493301858861100.000000,-0.251068,0.787830,0.402107,-0.393190,-9.132112,-8.617934,0.963606,0.315969,-0.839892,0.083073,36.712586,12.685462,23.834957,4635491905994489900.000000,0.645749,-0.103723,0.743993,0.136837,-10.798725,2.093189,-4.837926,2.173000,0.430288,0.288158,44.083070,-1.998908,-18.959755,4635492979736313900.000000,-0.139710,0.717709,-0.053064,-0.680117
