Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557515511715899,-10.245930,-1.865321,1.019594,-3.239376,-0.114498,0.327948,47.398432,2.366377,-19.328087,4635485220073585700.000000,-0.468923,0.753990,-0.231402,-0.397572,-11.810874,0.042515,1.085457,-2.510160,1.501526,-0.823718,49.105070,2.390792,-9.716658,4635479450052460500.000000,-0.397187,-0.752270,-0.154275,0.502525,-13.935932,-10.341781,-4.140715,-3.080290,-0.411989,3.400953,46.994057,-3.453242,-15.864269,4635480631168466900.000000,-0.927032,-0.107316,-0.359244,-0.006294,-19.748703,0.831583,1.730255,-1.383730,-0.265216,-0.816211,52.116665,24.224573,10.908162,4635479772175007700.000000,-0.138976,0.775564,0.578961,-0.209738,-11.434915,3.044659,-5.014285,-2.245800,-1.323400,-2.549524,50.423332,-15.536226,1.192092,4635480845916831700.000000,0.130792,0.724769,0.348573,-0.579742
1557515511724232,-9.279153,-1.966429,0.639578,-3.245410,-0.065804,0.251736,47.378302,2.963657,-19.107507,4635485356169363500.000000,-0.457945,0.759984,-0.225362,-0.402397,-11.462348,0.377403,1.321262,-2.522637,1.459383,-0.864167,49.171421,3.059546,-9.305257,4635479474045107200.000000,-0.402003,-0.750535,-0.164961,0.497875,-13.165360,-9.744884,-4.165127,-3.179339,-0.409206,3.208026,46.716725,-4.444144,-16.199646,4635480631168466900.000000,-0.928687,-0.100197,-0.356308,-0.023369,-13.855112,0.889167,3.793330,-1.520589,-0.086365,-1.139497,51.650759,25.292549,11.131207,4635479772175007700.000000,-0.135914,0.776733,0.579847,-0.204915,-8.772801,1.388628,-4.403900,-2.238064,-1.470956,-2.813770,50.558860,-15.303865,0.452906,4635480845916831700.000000,0.127115,0.719350,0.354549,-0.583672
1557515511732565,-8.069819,-2.579312,-0.250014,-3.230807,-0.075670,0.172140,47.138120,3.497659,-19.047153,4635485356169363500.000000,-0.447075,0.765851,-0.219027,-0.406968,-11.110937,0.637776,1.421514,-2.547454,1.406204,-0.888711,49.225969,3.785086,-8.609453,4635479557426642900.000000,-0.406365,-0.748674,-0.174978,0.493697,-12.588212,-9.174551,-4.190743,-3.318776,-0.410589,3.039769,46.558423,-5.545592,-16.690535,4635480599474144300.000000,-0.930095,-0.092262,-0.353286,-0.039992,-7.637210,3.742631,5.606094,-1.401671,-0.031353,-0.907558,50.623409,26.599962,11.434383,4635479772175007700.000000,-0.133074,0.778297,0.579991,-0.200388,-9.775652,3.004356,-1.895408,-2.163512,-1.267846,-2.657066,50.445195,-14.635806,-0.362467,4635480845916831700.000000,0.123114,0.714757,0.359915,-0.586878
1557515511740898,-7.717481,-3.149175,0.416004,-3.101146,-0.126369,0.128481,47.110772,3.877625,-19.161488,4635485277542547500.000000,-0.436662,0.771281,-0.212630,-0.411388,-10.700075,0.880600,1.451379,-2.582233,1.344485,-0.895937,49.470095,4.427867,-7.951864,4635479557426642900.000000,-0.411031,-0.746440,-0.185307,0.489430,-11.853645,-8.748533,-4.217762,-3.497592,-0.414966,2.885655,46.178830,-6.423653,-17.095739,4635480287937073200.000000,-0.931280,-0.083383,-0.350140,-0.056266,-11.336112,1.846430,3.241180,-1.361906,-0.204447,-0.152717,49.493389,27.671909,11.576246,4635479772175007700.000000,-0.129223,0.781348,0.577916,-0.197001,-17.605001,8.450054,-3.715955,-2.623888,-0.955169,-1.886997,50.334920,-14.022984,-0.932772,4635480845916831700.000000,0.121801,0.711890,0.364259,-0.587956
1557515511749231,-8.032050,-2.845076,1.757022,-2.917642,-0.170780,0.095084,47.125916,4.450812,-19.216522,4635485141420998700.000000,-0.426864,0.776194,-0.206311,-0.415627,-10.395133,1.145013,1.500208,-2.621630,1.274931,-0.895108,49.676075,5.027453,-7.429672,4635479509467119600.000000,-0.416025,-0.743804,-0.195898,0.485081,-11.032478,-8.328637,-4.149512,-3.724202,-0.419362,2.728728,45.804971,-7.056295,-17.531448,4635480094297554900.000000,-0.932255,-0.073375,-0.346840,-0.072242,-19.602444,2.872585,1.721944,-1.391376,-0.423896,-0.047944,49.108084,27.830844,11.530379,4635479772175007700.000000,-0.124605,0.784378,0.575713,-0.194371,-17.318141,14.052385,-7.862078,-3.247856,-0.714278,-1.029504,50.319338,-13.777967,-1.411812,4635480845916831700.000000,0.124011,0.710636,0.367654,-0.586898
1557515511757564,-8.621459,-2.541853,2.569458,-2.773002,-0.154267,0.038020,47.076215,5.001206,-19.079532,4635485141420998700.000000,-0.417565,0.780798,-0.200061,-0.419486,-10.320830,1.325276,1.546312,-2.649484,1.201229,-0.892961,49.768402,5.660814,-6.916961,4635479342678278100.000000,-0.421099,-0.740857,-0.206379,0.480847,-10.687267,-7.884002,-4.023644,-3.991210,-0.416559,2.575419,45.568464,-7.571142,-18.026108,4635480094297554900.000000,-0.933005,-0.062087,-0.343375,-0.087983,-18.634606,2.149162,0.749881,-1.538111,-0.295590,-0.523904,49.029889,27.436636,11.539292,4635479772175007700.000000,-0.120160,0.786386,0.575123,-0.190768,-11.676208,13.303200,-8.762329,-3.675906,-0.256429,-0.425391,49.929996,-13.781736,-1.852544,4635480845916831700.000000,0.128255,0.711208,0.370458,-0.583519
1557515511765897,-8.838160,-2.753847,1.908023,-2.723805,-0.046691,-0.060822,47.110763,5.279902,-18.810970,4635485141420998700.000000,-0.408476,0.785461,-0.193764,-0.422674,-10.474189,1.391644,1.563851,-2.636355,1.132776,-0.882394,49.929822,6.244028,-6.382457,4635479342678278100.000000,-0.426142,-0.737693,-0.216649,0.476734,-10.865579,-7.634636,-3.978414,-4.254573,-0.427241,2.447853,45.155031,-8.219335,-18.338910,4635480073191241700.000000,-0.933515,-0.049580,-0.339655,-0.103570,-11.414829,0.985027,2.507780,-1.204716,-0.202405,-0.635747,48.374043,27.518436,11.748127,4635479772175007700.000000,-0.117061,0.787937,0.574665,-0.187649,-11.404246,7.470982,-7.587209,-3.968883,-0.114523,-0.041835,49.385723,-13.793944,-2.209512,4635480845916831700.000000,0.134142,0.712506,0.372839,-0.579079
1557515511774230,-9.191096,-2.794868,0.994717,-2.714054,0.017658,-0.131151,47.157200,5.717904,-18.654107,4635485141420998700.000000,-0.399450,0.790158,-0.187345,-0.425430,-10.696627,1.353497,1.506852,-2.562983,1.084485,-0.869940,50.062561,6.817723,-5.791217,4635479342678278100.000000,-0.430960,-0.734466,-0.226616,0.472734,-10.983064,-7.561392,-3.966206,-4.478238,-0.436033,2.338743,44.578048,-8.822143,-18.533593,4635479879549190100.000000,-0.933737,-0.036037,-0.335669,-0.119005,-9.456282,-1.611636,1.917359,-0.875931,-0.165588,-0.199248,47.341024,27.767555,11.944444,4635479809894456300.000000,-0.114729,0.790274,0.572635,-0.185457,-11.495987,1.288874,-4.562802,-3.972664,-0.088366,0.245435,48.836455,-13.723661,-2.563486,4635480845916831700.000000,0.140790,0.714212,0.374331,-0.574418
1557515511782563,-10.289407,-2.383394,1.106145,-2.658852,-0.061671,-0.140760,47.036601,6.364848,-18.650527,4635485102133361700.000000,-0.390634,0.794519,-0.180822,-0.428308,-10.914944,1.231640,1.443198,-2.461376,1.045211,-0.863893,50.043487,7.372397,-5.285372,4635479342678278100.000000,-0.435452,-0.731250,-0.236263,0.468865,-10.958428,-7.512120,-3.959991,-4.638598,-0.427279,2.263025,44.426561,-8.883620,-19.078818,4635479879549190100.000000,-0.933596,-0.021752,-0.331487,-0.134321,-12.916684,0.451586,-0.826988,-0.730684,-0.260219,0.190852,46.727333,27.558173,11.999877,4635479954954652700.000000,-0.112308,0.793297,0.569347,-0.184148,-11.086982,-1.883186,-2.888614,-3.662117,-0.094805,0.433647,48.357883,-13.803599,-2.917458,4635480845916831700.000000,0.147053,0.716281,0.374431,-0.570192
1557515511790896,-11.436882,-1.764394,1.777532,-2.598020,-0.177212,-0.108532,46.742733,6.926974,-18.541550,4635485034046816300.000000,-0.382009,0.798438,-0.174303,-0.431491,-11.069496,1.351304,1.458130,-2.352684,1.012806,-0.860203,49.996180,7.863404,-4.788703,4635479342678278100.000000,-0.439592,-0.728080,-0.245596,0.465126,-11.029509,-7.699761,-4.018391,-4.714470,-0.413980,2.238754,44.302818,-8.765635,-19.790836,4635479879549190100.000000,-0.933030,-0.007127,-0.327150,-0.149589,-16.505793,3.736643,-3.337836,-0.831183,-0.380855,0.239223,46.525121,27.100158,11.969872,4635480094297554900.000000,-0.109208,0.796317,0.566078,-0.183055,-12.002826,-0.658536,-3.574330,-3.572585,-0.247631,0.595735,47.740477,-13.900822,-3.082932,4635480845916831700.000000,0.153794,0.718156,0.373728,-0.566505
