Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557517345472630,-17.192333,-5.450112,0.223008,-0.536402,1.035880,1.257174,40.353054,-22.136331,-1.600314,4635482134943891500.000000,-0.716724,0.143180,-0.560766,-0.389034,-19.773507,10.778149,-1.680722,0.097475,-0.221593,5.138641,18.512965,-21.611539,-29.995539,4635479649763543000.000000,0.230462,0.447952,-0.270711,-0.820330,-16.924030,-3.753048,3.563419,-0.767295,1.076334,1.336851,35.279037,29.502606,-2.638300,4635479886247999500.000000,0.395568,0.424505,0.564727,-0.586860,-22.619713,-7.204139,-10.554719,-2.941990,-0.594233,1.030914,30.792471,-16.210577,-23.198082,4635477946813906900.000000,-0.387984,0.457167,-0.316716,-0.734954,-5.146398,6.980079,-0.659780,-0.042958,0.707330,0.420372,28.196454,3.627135,35.496309,4635479772175007700.000000,0.460492,0.388739,0.788389,-0.123581
1557517345480963,-17.538067,-5.516578,-0.453889,-0.400162,1.140971,1.133254,40.246174,-22.563369,-1.347956,4635482134943891500.000000,-0.711714,0.143623,-0.564582,-0.392534,-18.795223,10.516427,-1.827208,-0.009896,-0.103778,5.051097,17.447038,-22.492651,-29.963321,4635479557426642900.000000,0.247810,0.441473,-0.280342,-0.815536,-17.155991,-4.209669,3.469950,-0.685146,1.202040,1.281374,35.681877,29.043679,-2.092398,4635479879549190100.000000,0.397050,0.429016,0.566026,-0.581301,-8.105119,9.575838,-9.339702,-2.914798,-0.155116,1.301771,30.564546,-15.303699,-23.733061,4635477946813906900.000000,-0.378395,0.459572,-0.310315,-0.741158,-7.075146,11.023919,0.057791,-0.075696,0.782197,0.325472,27.252398,3.935048,35.483849,4635479772175007700.000000,0.458074,0.389876,0.789510,-0.121815
1557517345489296,-17.668913,-5.721276,-1.192475,-0.417957,1.131783,1.034892,40.006852,-23.059395,-0.950764,4635482134943891500.000000,-0.706840,0.144323,-0.568255,-0.395769,-17.808249,10.295013,-1.953184,-0.190172,0.008535,4.943082,16.496933,-23.213302,-30.157410,4635479557426642900.000000,0.265147,0.435116,-0.288912,-0.810494,-17.317354,-4.389333,3.573341,-0.571821,1.308386,1.246527,36.096547,28.579797,-1.720463,4635479879549190100.000000,0.397973,0.433866,0.567258,-0.575843,-19.981998,-3.860287,-10.364352,-2.596780,-0.098813,1.278894,30.767408,-15.039521,-24.092100,4635477946813906900.000000,-0.369354,0.461596,-0.304890,-0.746692,-8.995214,12.449150,-2.422157,-0.233766,0.916081,0.306432,26.185830,4.427782,35.508264,4635479772175007700.000000,0.455457,0.390713,0.790986,-0.119347
1557517345497629,-17.406983,-5.882966,-0.230118,-0.314020,1.182962,0.950514,39.754913,-23.340349,-0.614379,4635482134943891500.000000,-0.702014,0.144991,-0.572175,-0.398460,-16.802744,10.022136,-1.932705,-0.439083,0.112950,4.780003,15.439450,-23.768217,-30.158188,4635479557426642900.000000,0.282402,0.428844,-0.296099,-0.805399,-17.204055,-4.654817,3.836921,-0.444091,1.384114,1.221662,36.416951,28.186920,-1.259683,4635479879549190100.000000,0.398405,0.439026,0.568322,-0.570561,-14.230383,-0.255689,-9.869665,-2.716666,-0.231879,1.091533,30.676078,-14.928130,-24.394638,4635477946813906900.000000,-0.360781,0.463553,-0.298482,-0.752240,-10.231720,6.129312,-3.903574,-0.570969,0.832735,0.056227,25.634493,4.481655,35.212593,4635479678328890400.000000,0.453531,0.390041,0.792864,-0.116379
1557517345505962,-16.636460,-5.612322,-0.448590,-0.290453,1.257489,0.881326,39.662043,-23.515876,-0.396623,4635482134943891500.000000,-0.697106,0.145869,-0.576284,-0.400827,-15.593026,9.468204,-1.755496,-0.707647,0.200584,4.564432,14.119083,-24.205977,-29.962349,4635479557426642900.000000,0.299412,0.422643,-0.301770,-0.800413,-16.892780,-4.828779,4.247384,-0.309706,1.418531,1.182609,36.663393,27.879060,-0.807628,4635479879549190100.000000,0.398396,0.444374,0.569163,-0.565567,-14.991021,-2.271494,-5.078381,-2.607842,0.285616,1.433262,30.156148,-14.492512,-24.761065,4635477946813906900.000000,-0.350650,0.466464,-0.293805,-0.757057,-8.583866,-0.411650,-2.091262,-0.812368,0.702440,0.080042,25.510494,4.085356,34.934807,4635479664800825300.000000,0.452429,0.388924,0.794561,-0.112778
1557517345514295,-16.153794,-4.454498,0.515911,-0.376794,1.219754,0.871013,39.506159,-23.747804,-0.086851,4635482134943891500.000000,-0.692221,0.146948,-0.580108,-0.403375,-14.203611,8.732346,-1.392687,-0.920482,0.274010,4.336170,12.928281,-24.633236,-29.964719,4635479587449665500.000000,0.316020,0.416548,-0.306117,-0.795557,-16.445313,-4.822307,4.567835,-0.213403,1.407152,1.119290,36.836589,27.562050,-0.355954,4635479879549190100.000000,0.398066,0.449682,0.569844,-0.560899,-20.283870,-3.007887,-11.852256,-2.833635,0.055702,1.265299,30.950845,-14.580294,-24.990882,4635477946813906900.000000,-0.340836,0.469102,-0.287705,-0.762234,-10.587593,4.701381,-2.457596,-1.195426,1.166590,-0.035522,25.373219,3.686987,34.751578,4635479664800825300.000000,0.450341,0.386910,0.797474,-0.107372
1557517345522628,-15.829978,-4.161044,0.485159,-0.456207,1.151855,0.890463,39.342894,-23.943309,0.282114,4635482134943891500.000000,-0.687387,0.148085,-0.583589,-0.406194,-12.674272,7.985728,-1.062826,-1.046729,0.336778,4.099282,12.167487,-25.036601,-30.271871,4635479772175007700.000000,0.332038,0.410653,-0.309441,-0.790798,-15.757299,-4.774635,4.790576,-0.189736,1.352960,1.024183,36.995633,27.256553,0.166548,4635479879549190100.000000,0.397581,0.454655,0.570530,-0.556520,-17.509976,1.002516,-9.147769,-2.579854,0.090831,1.024460,32.066748,-14.475065,-25.090733,4635477946813906900.000000,-0.295913,0.484392,-0.259537,-0.781306,-10.550702,-2.670747,-2.668696,-1.439755,0.650568,-0.417457,25.216092,3.840500,34.570040,4635479664800825300.000000,0.450165,0.382924,0.800108,-0.102698
1557517345530961,-16.026898,-4.431122,1.491222,-0.327735,1.080275,0.918746,39.137145,-24.052973,0.640971,4635482134943891500.000000,-0.682730,0.148654,-0.587076,-0.408808,-11.134196,7.307244,-0.818420,-1.109415,0.384097,3.833111,11.500289,-25.248586,-30.493831,4635479772175007700.000000,0.347246,0.405041,-0.311934,-0.786168,-14.884150,-4.690340,4.750221,-0.248025,1.279831,0.897017,37.166149,26.939548,0.537775,4635479879549190100.000000,0.397070,0.459041,0.571446,-0.552328,-17.075935,-3.264739,-7.194450,-2.521934,0.515677,0.849638,31.808496,-13.383422,-25.261959,4635477989392435200.000000,-0.287262,0.488150,-0.253986,-0.784016,-16.023595,5.006292,4.834228,-1.667365,1.197973,-0.794779,25.036084,4.264406,34.226957,4635479664800825300.000000,0.448333,0.377466,0.804419,-0.097093
1557517345539294,-16.225072,-3.805974,2.745597,-0.187998,0.964079,0.928170,38.998058,-24.321316,0.911536,4635482134943891500.000000,-0.678401,0.148596,-0.590456,-0.411162,-9.684536,6.672255,-0.649240,-1.133902,0.426222,3.537311,10.599549,-25.177324,-30.577568,4635479772175007700.000000,0.361488,0.399802,-0.313695,-0.781716,-13.851409,-4.403878,4.559503,-0.369956,1.208189,0.765721,37.254309,26.480237,0.821275,4635479879549190100.000000,0.396647,0.462732,0.572753,-0.548182,-18.895088,-3.063704,-11.520524,-2.374541,0.344877,0.676419,31.554805,-12.607827,-25.279111,4635478161562271700.000000,-0.279624,0.491293,-0.248327,-0.786623,-13.386848,-12.989467,-6.443111,-1.737289,0.678803,-0.740892,25.215652,3.990726,34.020717,4635479664800825300.000000,0.448332,0.371823,0.807644,-0.091960
