Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557433522333615,-9.764434,0.608138,-0.161673,-0.058748,0.029387,-0.015957,45.667896,-9.976125,-19.487480,4635496737832697900.000000,0.022015,0.706387,0.071445,-0.703867,-7.799121,5.633364,2.343117,-0.056797,0.000688,0.061891,50.749813,-6.653035,3.131551,4635493087110496300.000000,0.770999,0.470032,0.399434,-0.158375,-7.724043,-5.380221,3.095275,-0.015928,-0.053691,0.037196,42.751409,28.807625,10.560485,4635493731355590700.000000,0.780665,-0.173962,0.551879,-0.236069,-9.694889,-0.461671,-1.103665,-0.015097,0.003785,-0.013886,50.987057,16.909944,-4.305947,4635492442865401900.000000,0.321892,0.640827,0.385233,-0.580793,-9.719407,-0.451674,-0.856832,0.004678,-0.004531,-0.008950,51.215725,-12.538680,10.441321,4635493946103955500.000000,0.620692,-0.315114,0.665421,0.269556
1557433522341948,-9.740763,0.573004,-0.210503,-0.059269,0.021233,-0.015149,45.663431,-10.190505,-19.557003,4635496737832697900.000000,0.022106,0.706468,0.071341,-0.703793,-7.836448,5.634069,2.356029,-0.051898,-0.006162,0.063021,50.835264,-6.762311,3.176858,4635493087110496300.000000,0.771143,0.469987,0.399286,-0.158179,-7.691745,-5.349005,3.033158,-0.014859,-0.057274,0.035154,42.754968,28.662983,10.564044,4635493731355590700.000000,0.780824,-0.173983,0.551726,-0.235886,-9.680470,-0.486086,-1.120870,-0.008932,0.000000,-0.013011,51.087982,16.707993,-4.446860,4635492442865401900.000000,0.321891,0.640774,0.385311,-0.580801,-9.707200,-0.441781,-0.854518,0.002541,-0.002744,-0.005948,51.066929,-12.594045,10.355873,4635493946103955500.000000,0.620724,-0.315096,0.665410,0.269528
1557433522350281,-9.731533,0.560052,-0.254123,-0.067489,0.019031,-0.018093,45.584233,-9.947103,-19.574421,4635496737832697900.000000,0.022222,0.706541,0.071278,-0.703723,-7.866612,5.604610,2.396284,-0.050706,-0.014707,0.063021,50.845952,-6.999989,3.280967,4635493087110496300.000000,0.771294,0.469954,0.399096,-0.158027,-7.701792,-5.373417,2.963160,-0.013791,-0.064939,0.033425,42.691118,28.677019,10.485080,4635493731355590700.000000,0.781000,-0.174014,0.551546,-0.235703,-9.675473,-0.495506,-1.130291,-0.005972,0.002186,-0.010875,51.023019,16.679239,-4.504532,4635492442865401900.000000,0.321883,0.640734,0.385378,-0.580805,-9.704885,-0.469145,-0.894089,0.002136,-0.006464,-0.001878,51.039154,-12.610248,10.339670,4635493946103955500.000000,0.620762,-0.315064,0.665395,0.269516
1557433522358614,-9.767409,0.536383,-0.216018,-0.070693,0.016152,-0.017025,45.433407,-9.748618,-19.677271,4635496744367957000.000000,0.022359,0.706605,0.071229,-0.703659,-7.880233,5.561534,2.435731,-0.046743,-0.023252,0.061511,50.807213,-7.129124,3.332621,4635493087110496300.000000,0.771465,0.469884,0.398926,-0.157824,-7.690664,-5.396752,2.928697,-0.013290,-0.073608,0.025163,42.863849,28.821680,10.481510,4635493731355590700.000000,0.781185,-0.174064,0.551333,-0.235552,-9.663268,-0.488296,-1.128077,-0.005341,0.002718,-0.007865,50.959259,16.837914,-4.469563,4635492442865401900.000000,0.321880,0.640701,0.385436,-0.580805,-9.675211,-0.466197,-0.903348,0.003867,-0.004015,-0.001934,51.217204,-12.541006,10.408912,4635493946103955500.000000,0.620795,-0.315030,0.665388,0.269497
1557433522366947,-9.788096,0.522677,-0.157202,-0.073702,0.018616,-0.015826,45.607098,-10.071348,-19.859697,4635496845206880300.000000,0.022498,0.706678,0.071174,-0.703587,-7.873775,5.519161,2.412024,-0.040652,-0.030287,0.058810,50.766963,-7.088874,3.332621,4635493087110496300.000000,0.771635,0.469825,0.398735,-0.157654,-7.688505,-5.405721,2.915410,-0.018536,-0.073012,0.019728,43.153172,28.815203,10.568040,4635493721860177900.000000,0.781362,-0.174149,0.551121,-0.235397,-9.651061,-0.493291,-1.140283,-0.007089,-0.000194,-0.004030,51.067464,16.901699,-4.454044,4635492442865401900.000000,0.321895,0.640665,0.385485,-0.580804,-9.697937,-0.453990,-0.923130,0.008600,-0.003204,-0.000405,51.258888,-12.465448,10.425122,4635493946103955500.000000,0.620831,-0.314981,0.665390,0.269466
1557433522375280,-9.753716,0.489043,-0.135776,-0.073310,0.025701,-0.012818,45.989769,-10.454019,-20.019395,4635496845206880300.000000,0.022628,0.706774,0.071097,-0.703494,-7.856527,5.476084,2.392651,-0.035497,-0.033113,0.059189,50.681516,-7.009176,3.286627,4635493087110496300.000000,0.771797,0.469786,0.398526,-0.157505,-7.666249,-5.380230,2.893155,-0.022620,-0.077095,0.013037,43.139155,28.740887,10.640890,4635493623981408300.000000,0.781539,-0.174268,0.550894,-0.235252,-9.643848,-0.505498,-1.142502,-0.011361,0.002816,-0.001262,51.101300,16.788508,-4.539490,4635492442865401900.000000,0.321924,0.640635,0.385540,-0.580785,-9.704885,-0.421996,-0.917870,0.007882,-0.000608,0.000000,51.070930,-12.461444,10.435015,4635493946103955500.000000,0.620858,-0.314936,0.665399,0.269436
1557433522383613,-9.753716,0.500504,-0.161679,-0.067032,0.026965,-0.012818,46.044363,-10.503392,-19.997494,4635496845206880300.000000,0.022739,0.706875,0.071001,-0.703399,-7.802662,5.456709,2.375406,-0.029467,-0.035125,0.059878,50.711040,-7.045157,3.200471,4635493087110496300.000000,0.771951,0.469766,0.398305,-0.157368,-7.666249,-5.345765,2.896389,-0.024284,-0.079137,0.003895,42.972909,28.669452,10.466405,4635493623981408300.000000,0.781710,-0.174414,0.550657,-0.235131,-9.658830,-0.507717,-1.125300,-0.012575,0.005341,0.002185,50.979781,16.722479,-4.555026,4635492442865401900.000000,0.321960,0.640615,0.385592,-0.580752,-9.694995,-0.434833,-0.935336,0.006612,-0.002596,0.000000,51.036837,-12.582444,10.437330,4635493946103955500.000000,0.620889,-0.314891,0.665401,0.269412
1557433522391946,-9.753716,0.498262,-0.209767,-0.062629,0.030649,-0.012883,45.826591,-10.195678,-19.831801,4635496845206880300.000000,0.022849,0.706986,0.070904,-0.703293,-7.758160,5.445212,2.327287,-0.029281,-0.035876,0.057239,50.835244,-7.129124,3.201957,4635493087110496300.000000,0.772080,0.469805,0.398011,-0.157364,-7.663015,-5.333557,2.929777,-0.020797,-0.080394,-0.000377,42.757874,28.743774,10.379876,4635493623981408300.000000,0.781881,-0.174556,0.550409,-0.235037,-9.680470,-0.490516,-1.120862,-0.010245,0.004467,0.004904,50.929287,16.837895,-4.504532,4635492442865401900.000000,0.321998,0.640600,0.385631,-0.580722,-9.682788,-0.390017,-0.939970,0.009005,-0.005801,0.000000,51.227062,-12.600358,10.506559,4635493946103955500.000000,0.620931,-0.314837,0.665397,0.269385
1557433522400279,-9.754461,0.463881,-0.244148,-0.056351,0.025244,-0.014147,45.840759,-10.041473,-19.752325,4635496838648203300.000000,0.022944,0.707082,0.070799,-0.703204,-7.728707,5.438043,2.266250,-0.032988,-0.031666,0.055041,50.880455,-7.088884,3.241421,4635493087110496300.000000,0.772216,0.469806,0.397768,-0.157304,-7.629627,-5.315967,2.933007,-0.014200,-0.083033,-0.004649,42.856235,28.815220,10.291918,4635493623981408300.000000,0.782058,-0.174688,0.550144,-0.234971,-9.670484,-0.486076,-1.140282,-0.009176,0.004952,0.006020,50.894333,16.896715,-4.504532,4635492442865401900.000000,0.322035,0.640590,0.385664,-0.580690,-9.660689,-0.358647,-0.939970,0.009613,-0.002947,-0.002596,51.201857,-12.538694,10.522781,4635493946103955500.000000,0.620970,-0.314792,0.665398,0.269346
1557433522408612,-9.765923,0.465372,-0.237438,-0.052013,0.019031,-0.018289,46.058533,-9.961241,-19.757822,4635496737832697900.000000,0.023019,0.707159,0.070696,-0.703135,-7.685626,5.421508,2.233955,-0.035752,-0.026828,0.054476,50.914946,-7.003433,3.148735,4635493087110496300.000000,0.772366,0.469761,0.397590,-0.157155,-7.626397,-5.244876,2.965322,-0.006032,-0.080017,-0.008639,43.067719,28.754895,10.310585,4635493633452189700.000000,0.782232,-0.174803,0.549876,-0.234933,-9.661048,-0.470552,-1.137512,-0.008982,0.008351,0.009419,50.878778,16.816265,-4.504532,4635492442865401900.000000,0.322075,0.640594,0.385693,-0.580645,-9.675836,-0.363905,-0.949860,0.011344,-0.002136,-0.004070,51.116410,-12.406114,10.443660,4635493946103955500.000000,0.621010,-0.314747,0.665402,0.269297
