Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557517305630298,-7.128077,-1.606784,-0.649143,-2.343527,0.048611,-0.246773,46.453645,5.351143,23.542500,4635482779188985900.000000,-0.692264,0.342766,-0.634978,0.009196,-8.756860,3.381451,2.814411,-1.149267,0.458980,-0.871560,39.173833,-22.744399,-17.071656,4635478268936454100.000000,-0.195552,0.647364,-0.366498,-0.639030,-8.135070,-5.649057,-2.758539,-4.880680,-0.585777,1.849368,35.841614,37.467825,-16.805613,4635478591059001300.000000,0.707067,0.140276,0.393580,-0.570502,-13.226908,-2.037753,-3.611102,-0.590813,0.210656,-0.034346,49.156441,-16.130476,23.198507,4635478487805586400.000000,-0.732388,0.480494,-0.406131,-0.260368,-8.952186,-1.299440,-1.275565,-3.183112,-1.311185,0.394227,48.106464,30.426355,15.175856,4635481072068791300.000000,0.734593,0.010412,0.589908,-0.335073
1557517305638631,-7.363388,-1.852326,-0.201774,-2.225187,-0.143995,-0.242465,46.527995,5.033754,23.458154,4635482779188985900.000000,-0.689592,0.349864,-0.634070,0.003594,-8.295270,3.471395,2.922062,-1.036145,0.400333,-0.769695,39.650982,-22.269392,-17.226926,4635478268936454100.000000,-0.194404,0.650495,-0.361819,-0.638866,-7.729631,-5.675115,-2.519370,-4.599964,-0.550301,1.858144,36.708235,37.625517,-15.607124,4635478591059001300.000000,0.714959,0.128676,0.401711,-0.557588,-13.237228,-2.043890,-3.617581,-0.589487,0.208009,-0.035342,49.171921,-16.150116,23.274431,4635478486805867500.000000,-0.731289,0.481416,-0.406880,-0.260583,-8.841292,-1.293985,-1.097639,-2.839372,-1.313595,0.490431,48.788511,29.631091,15.444419,4635481168039378900.000000,0.738640,0.001266,0.589738,-0.326524
1557517305646964,-7.363273,-1.491341,0.551885,-2.241376,-0.244936,-0.200598,46.901015,4.649745,23.628067,4635482583871830000.000000,-0.687102,0.356935,-0.632837,-0.002386,-7.825822,3.471330,2.862033,-0.919618,0.350523,-0.656466,40.114864,-21.711139,-17.428950,4635478181032137700.000000,-0.193341,0.653210,-0.357708,-0.638734,-7.431048,-5.692941,-2.286775,-4.314463,-0.524175,1.856182,37.527424,37.572758,-14.429644,4635478591059001300.000000,0.722363,0.117930,0.409087,-0.544914,-13.247549,-2.050028,-3.624059,-0.588160,0.205361,-0.036339,49.187401,-16.169757,23.350355,4635478485806147600.000000,-0.730198,0.482321,-0.407625,-0.260805,-8.602889,-1.253478,-0.902607,-2.514265,-1.299871,0.564881,49.711233,28.707276,15.503679,4635481168039378900.000000,0.742639,-0.006678,0.589070,-0.318495
1557517305655297,-7.161237,-1.696914,0.633679,-2.072244,-0.128814,-0.210139,47.148395,4.248049,23.667943,4635482564440621100.000000,-0.684495,0.363848,-0.631677,-0.008073,-7.349826,3.317031,2.714436,-0.818755,0.306837,-0.535883,40.518705,-21.207444,-17.638648,4635478161562271700.000000,-0.208014,0.646582,-0.370240,-0.633707,-7.162506,-5.664903,-2.074974,-4.028222,-0.499293,1.843915,38.320843,37.280174,-13.329731,4635478591059001300.000000,0.729299,0.108037,0.415737,-0.532554,-13.257869,-2.056165,-3.630538,-0.586833,0.202714,-0.037335,49.202881,-16.189397,23.426279,4635478484806428700.000000,-0.729115,0.483208,-0.408367,-0.261034,-8.343679,-1.031727,-0.604468,-2.203903,-1.280872,0.622720,50.838137,27.991695,15.292561,4635481168039378900.000000,0.746580,-0.013493,0.587971,-0.311008
1557517305663630,-7.008114,-1.521419,0.035311,-2.144483,-0.110600,-0.225092,47.169407,4.000628,23.514735,4635482564440621100.000000,-0.681671,0.370967,-0.630489,-0.013860,-6.863719,3.193862,2.665644,-0.734663,0.267606,-0.415856,40.779466,-20.789067,-17.846187,4635478161562271700.000000,-0.206930,0.648621,-0.367246,-0.633720,-6.878101,-5.564951,-1.859525,-3.752338,-0.473656,1.819581,39.169764,37.012555,-12.382099,4635478730315532300.000000,0.735780,0.098961,0.421723,-0.520562,-13.268189,-2.062303,-3.637016,-0.585507,0.200066,-0.038332,49.218362,-16.209037,23.502202,4635478483806709800.000000,-0.728040,0.484077,-0.409104,-0.261271,-8.017258,-0.642695,-0.350429,-1.902680,-1.252561,0.665832,51.910017,27.370739,14.999603,4635481168039378900.000000,0.750445,-0.019228,0.586505,-0.304095
1557517305671963,-7.172464,-1.834552,0.064396,-2.025165,-0.181901,-0.254617,47.313724,3.757586,23.421541,4635482564440621100.000000,-0.679160,0.377783,-0.629005,-0.019343,-6.455352,3.163932,2.561290,-0.673592,0.238770,-0.298844,40.941464,-20.586061,-17.963785,4635478161562271700.000000,-0.205744,0.650345,-0.364700,-0.633810,-6.656374,-5.414843,-1.687293,-3.509811,-0.457718,1.780353,40.040750,36.749628,-11.614016,4635478805807366100.000000,0.741841,0.090565,0.427120,-0.508959,-7.503308,-3.885065,-2.169477,-0.839489,0.436070,0.112533,49.713267,-16.136408,23.522177,4635478483684818900.000000,-0.725882,0.485701,-0.410586,-0.261932,-7.810154,-0.309928,-0.275313,-1.609275,-1.221672,0.706171,52.782790,26.711530,14.659373,4635481227409621000.000000,0.754245,-0.023905,0.584713,-0.297749
1557517305680296,-7.223457,-2.311681,0.250824,-2.007535,-0.331819,-0.217607,47.683260,3.369208,23.336109,4635482564440621100.000000,-0.677010,0.384421,-0.627094,-0.025123,-6.164665,3.231656,2.429237,-0.634470,0.226056,-0.184176,41.227817,-20.417391,-18.071426,4635478337324042200.000000,-0.204379,0.651820,-0.362554,-0.633967,-6.576169,-5.295737,-1.643706,-3.312792,-0.449115,1.732033,40.717433,36.243003,-10.945642,4635478805807366100.000000,0.747522,0.082685,0.432028,-0.497721,-12.477931,1.059079,-3.197763,-0.902006,0.211994,-0.019322,50.414049,-16.179562,23.448653,4635478483684818900.000000,-0.724121,0.487481,-0.411054,-0.262765,-7.815319,-0.046844,-0.408999,-1.341792,-1.191315,0.760113,53.632783,25.971396,14.078507,4635481275413561300.000000,0.758009,-0.027570,0.582645,-0.291867
1557517305688629,-7.171291,-2.344930,0.745796,-1.942956,-0.370358,-0.199063,47.940707,2.899782,23.095281,4635482466820699100.000000,-0.675006,0.390812,-0.625044,-0.030861,-5.916114,3.247169,2.304961,-0.623700,0.226059,-0.071646,41.665050,-20.246507,-18.171290,4635478376310636500.000000,-0.202745,0.653112,-0.360738,-0.634198,-6.543839,-5.221818,-1.711316,-3.153044,-0.438175,1.681829,41.227886,35.667890,-10.306541,4635478805807366100.000000,0.752853,0.075216,0.436548,-0.486806,-8.341538,-3.072107,0.199214,-0.683564,0.106858,-0.214056,50.984252,-15.972695,23.116732,4635478483684818900.000000,-0.723046,0.489042,-0.410770,-0.263270,-7.951861,0.302661,-0.566691,-1.132498,-1.168946,0.829031,54.507754,24.997105,13.293450,4635481275413561300.000000,0.761781,-0.030377,0.580363,-0.286261
1557517305696962,-7.032549,-3.131905,0.804581,-1.787954,-0.303826,-0.181096,48.029487,2.712235,22.827797,4635482457066438700.000000,-0.673029,0.396695,-0.623185,-0.036121,-5.761864,3.327095,2.232831,-0.649830,0.227322,0.029154,42.009077,-20.015646,-18.209012,4635478376310636500.000000,-0.200770,0.654273,-0.359127,-0.634545,-6.530961,-5.144955,-1.832714,-3.021197,-0.414971,1.634397,41.965125,35.134404,-9.616380,4635478805807366100.000000,0.757846,0.068103,0.440790,-0.476168,-10.129458,-2.451026,-0.525812,-0.503551,0.314738,-0.358217,51.469289,-15.653534,22.825522,4635478483684818900.000000,-0.722138,0.490523,-0.411021,-0.262614,-8.172897,0.522038,-0.711596,-0.958717,-1.147861,0.902148,55.309632,23.838919,12.468752,4635481275413561300.000000,0.765569,-0.032428,0.577916,-0.280831
